ARTIST NAME(S),ARTIST HOME LATITUDE,ARTIST HOME LONGITUDE,ARTIST HOME CITY,ARTIST COUNTRY,LANGUAGE OF MUSIC,VISIBLE ETHNIC MINORITY,CENSUS RACE CLASSIFICATION,ARTIST GENDER,CANADIAN CONTENT,ALBUMS PLAYED,STATIONS PLAYED ON,MEAN CHART POSITION,TOTAL DAYS PLAYED,STATION cfbx,STATION cfmh,STATION cfre,STATION cfru,STATION cfuv,STATION chly,STATION chrw,STATION chry,STATION chsr,STATION chuo,STATION chyz,STATION cick,STATION cilu,STATION cism,STATION ciut,STATION cjam,STATION cjlo,STATION cjsf,STATION cjsr,STATION cjsw,STATION cjum,STATION ckdu,STATION ckut,STATION ckxu,STATION cscr,CHART POSITION 1,CHART POSITION 2,CHART POSITION 3,CHART POSITION 4,CHART POSITION 5,CHART POSITION 6,CHART POSITION 7,CHART POSITION 8,CHART POSITION 9,CHART POSITION 10
$martyr (2mex & life rexall),34.05,-118.24,"los angeles, ca",us,english,yes,hispanic,male group,no,1,8,7,20,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.15,0.0,0.15,0.05,0.0,0.05,0.0,0.05,0.05,0.0,0.3,0.1,0.15,0.3,0.0
011,45.5,-73.58,"montreal, qc",cdn,french,no,white,mixed group,yes,1,1,8,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12seven,34.05,-118.24,"los angeles, ca",us,english,yes,mixed group,male group,no,1,1,8,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
14kt,42.24,-83.61,"ypsilanti, mi",us,english,yes,black,male,no,2,2,6,11,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,0.0,0.09090909090909091
2 faces,46.8,-71.25,"quebec, qc",cdn,french,no,white,male,yes,1,1,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0625,0.1875,0.0625,0.125,0.0625,0.25
24-carat black,42.33,-83.04,"detroit, mi",us,english,yes,black,male group,no,1,1,6,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2ra,37.8,-122.27,"oakland, ca",us,english,no,white,male,no,1,3,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.125,0.25,0.125,0.125,0.125,0.0,0.25
3d,30.42,-87.21,"pensacola, fl",us,english,yes,black,male group,no,2,1,8,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.125,0.25,0.25
3oh! 3,40.01,-105.27,"boulder, co",us,english,no,white,male group,no,1,2,5,7,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0
40 cal,40.71,-74.0,"new york, ny",us,english,yes,black,male,no,1,3,6,14,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.2857142857142857,0.21428571428571427,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142
